line,chart,gz,lc,ganwx,zhiwx,ju,v,primary,fav,av,blob,clash
1808,壬申壬寅壬申辛丑,丙午,fav,火,火,,xiong,火,"['木', '火']",['金'],丙午群比争财，天干无木之化，家破身亡,
1814,乙亥辛巳甲子庚午,丁丑,fav,火,土,化神水,xiong,水,"['水', '火']",[],至丁丑运合去子水，晦火生金，一事无成而亡,
1827,戊子庚申壬寅辛丑,乙丑,fav_l,木,土,,xiong,土,['土'],['火'],丑运生金，不禄,
1855,甲子甲戌甲寅乙亥,戊寅,fav,土,木,,xiong,火,"['土', '木', '火']",['金'],戊寅己卯无根，木临旺，回禄三次，起倒异常，刑妻克子，至卯而亡,
1855,甲子甲戌甲寅乙亥,己卯,fav,土,木,,xiong,火,"['土', '木', '火']",['金'],戊寅己卯无根，木临旺，回禄三次，起倒异常，刑妻克子，至卯而亡,
2198,癸未己未庚子甲申,丙辰,fav,火,土,化神水,xiong,水,"['木', '水']","['土', '火', '金']",初交戊午丁巳丙运，生土逼水，功名蹭蹬，家业破耗 辰运支全水局，举于乡,
2251,己亥癸酉壬申戊申,辛未,av_l,金,土,,ji,木,"['木', '水']","['土', '火']",至未运，早游泮水，五运科甲连登，己巳戊辰，仕路光亨，与前造天渊之隔者，非命也，实运美也,
2251,己亥癸酉壬申戊申,己巳,av,土,火,,ji,木,"['木', '水']","['土', '火']",至未运，早游泮水，五运科甲连登，己巳戊辰，仕路光亨，与前造天渊之隔者，非命也，实运美也,"亥(水强)旺冲巳(火衰)衰: 巳衰者拔, 亥旺神发"
2251,己亥癸酉壬申戊申,戊辰,av,土,土,,ji,木,"['木', '水']","['土', '火']",至未运，早游泮水，五运科甲连登，己巳戊辰，仕路光亨，与前造天渊之隔者，非命也，实运美也,
2379,辛卯甲午乙卯乙酉,己丑,av,土,土,,ji,金,"['水', '火', '金']",['土'],【原注】如乙运庚年，庚运乙年则和，日主喜金则吉，日主喜木则不吉，子运丑年，丑运子年，日主喜土则吉，喜水则不吉,
