line,chart,gz,lc,ganwx,zhiwx,ju,v,primary,fav,av,blob,clash
793,甲子乙亥己巳丁卯,辛巳,av_l,金,火,,ji,火,['火'],[],庚辰辛巳制官服煞，失幡皂盖，出守大郡，名利两优,"亥(水强)旺冲巳(火旺)衰: 巳衰者拔, 亥旺神发"
856,癸亥辛酉戊申己未,丁巳,av_l,火,火,,ji,火,"['土', '火']","['水', '金']",至丁巳丙辰运，旺印用事，仕至州牧，宦资丰厚,"亥(水强)旺冲巳(火平)衰: 巳衰者拔, 亥旺神发"
862,癸亥甲寅癸亥甲寅,戊申,av_l,土,金,,ji,火,"['火', '金']",[],己酉戊申二十年土金，生化不悖，仕至别驾，宦资丰厚,"寅(木强)旺冲申(金平)衰: 申衰者拔, 寅旺神发"
886,壬戌己酉戊戌乙卯,乙卯,av_l,木,木,,ji,金,"['木', '水', '火', '金']",[],甲寅乙卯二十年，仕至侍郎,"酉(金强)旺冲卯(木旺)衰: 卯衰者拔, 酉旺神发"
933,癸未甲子丙寅丁酉,己未,fav,土,土,,xiong,火,"['土', '水', '火']",[],一交己未，伤妻克子，遭回禄，家业大破,
965,庚申戊寅壬子甲辰,甲申,fav,木,金,,xiong,木,"['木', '水']","['土', '火']",申运冲寅，假神得助，不禄,"寅(木强)旺冲申(金旺)衰: 申衰者拔, 寅旺神发"
1000,戊辰辛酉乙亥甲申,乙卯,av_l,木,木,,ji,水,"['木', '水', '火']",['土'],乙卯仕至侍郎,"酉(金强)旺冲卯(木平)衰: 卯衰者拔, 酉旺神发"
1016,壬子辛亥乙亥丙子,丙辰,fav,火,土,,xiong,火,"['土', '火']",[],一交丙运，水火交战，刑妻克子，破耗异常 辰运蓄水无咎,
1048,丁未壬子庚戌丙戌,丙午,av_l,火,火,,ji,火,"['木', '火']",[],丁未南方火旺，议叙出仕，至丙午二十年，得奇遇，仕至州牧,"子(水强)旺冲午(火平)衰: 午衰者拔, 子旺神发"
1077,戊辰乙丑戊戌辛酉,辛未,fav,金,土,,xiong,金,"['土', '金']","['木', '水']",至未运破金，不禄,丑未同阶(强/强): 两停不拔不发
1096,庚戌己卯甲寅丁卯,甲申,av_l,木,金,,ji,金,"['土', '火', '金']","['木', '水']",迁州牧,"寅(木强)旺冲申(金平)衰: 申衰者拔, 寅旺神发"
1096,庚戌己卯甲寅丁卯,乙酉,av_l,木,金,,ji,金,"['土', '火', '金']","['木', '水']",迁州牧,"卯(木强)旺冲酉(金平)衰: 酉衰者拔, 卯旺神发"
1287,辛丑丙申癸巳庚申,癸巳,fav_l,水,火,,xiong,火,"['木', '火']",['金'],一交癸巳，皆从申合，一败如灰，竟为乞丐,
1430,丙寅辛卯癸酉戊午,戊子,av_l,土,水,,ji,金,"['水', '金']",['火'],戊子运冲去午火，不伤酉金，夫主登科发甲,"午(火旺)旺冲子(水平)衰: 子衰者拔, 午旺神发"
1473,辛丑癸巳丙子丁酉,壬辰,fav_l,水,土,,xiong,水,"['水', '金']","['木', '火']",且初交壬运逢杀，辛亥年天干逢壬癸克丙丁，地支亥冲巳破禄，运根拔尽，得疳疾而亡,
1520,甲申丙子癸亥癸亥,庚辰,fav,金,土,化神水,xiong,木,"['木', '水', '火']",['土'],庚辰辛巳虽有制化之情，却无生扶之意，以致蹭蹬仕途，未能显秩也,
1573,丁卯辛亥丙寅丙申,戊申,av_l,土,金,,ji,火,"['土', '木', '火', '金']",[],至戊申运，登科发甲，大志有为也,"寅(木强)旺冲申(金旺)衰: 申衰者拔, 寅旺神发"
1606,癸卯乙卯甲寅乙亥,辛亥,av_l,金,水,,ji,火,"['土', '木', '火']",['金'],壬子印星照临，辛亥金不通根，支逢生旺，仕至黄堂,
1618,癸酉乙丑丙申丙申,己未,fav,土,土,,xiong,土,"['土', '金']","['木', '火']",己未南方燥土，伤官助劫，不禄,丑未同阶(强/强): 两停不拔不发
1656,乙卯己卯戊辰癸亥,癸酉,fav_l,水,金,,xiong,木,"['木', '水']","['土', '火']",至癸酉运，落职而亡,"卯(木强)旺冲酉(金平)衰: 酉衰者拔, 卯旺神发"
1781,乙亥辛巳丁巳庚戌,丙子,fav_l,火,水,,xiong,水,"['木', '水', '金']",[],一交子运，两巳爱制，不禄,
1808,壬申壬寅壬申辛丑,乙巳,fav,木,火,,xiong,火,"['木', '火']",['金'],乙巳刑冲并见，刑丧破败,
1808,壬申壬寅壬申辛丑,丙午,fav,火,火,,xiong,火,"['木', '火']",['金'],丙午群比争财，天干无木之化，家破身亡,
1814,乙亥辛巳甲子庚午,丁丑,fav,火,土,化神水,xiong,水,"['水', '火']",[],至丁丑运合去子水，晦火生金，一事无成而亡,
1827,戊子庚申壬寅辛丑,乙丑,fav_l,木,土,,xiong,土,['土'],['火'],丑运生金，不禄,
2161,丙戌己亥甲戌庚午,甲辰,fav_l,木,土,,xiong,土,"['土', '火', '金']",['水'],甲辰运木又生火，冲戌中辛金，被午克之，生肺疽而亡,戌辰同阶(强/强): 两停不拔不发
2207,己亥甲戌庚子丙子,己巳,av_l,土,火,,ji,火,"['木', '水', '火']","['土', '金']",至己巳流年，印星有助，冲去亥水，甲木长生，名题雁塔,"亥(水强)旺冲巳(火平)衰: 巳衰者拔, 亥旺神发"
2258,己巳壬申甲寅戊辰,丙寅,av_l,火,木,,ji,水,"['木', '水', '火', '金']",['土'],由部书出身，至丁卯丙寅运，扶身制杀，仕至观察,"申(金强)旺冲寅(木旺)衰: 寅衰者拔, 申旺神发"
