book,id,chart,day_stem,root_class,queries,judgment,wangshuai_kw
滴天髓,滴天髓-0011,辛未乙未庚辰丁亥,庚,NONE,CAIDUO-SHENRUAN|SHAZHONG-SHENQING|ZHONGGUA-2SIDE|RI-BEI-HE|JIRUO-WUGEN|WUGEN-YOUFU|JISHUAI-CONGSHENG|GE-QING|GE-QUALITY|YUN-SHENG-ROOT|SHI-ZHU-JI|YONGSHEN-STRUCTURE|YONGSHEN-FINAL,甲午 癸巳 壬辰 辛卯 庚寅 己丑庚辰日元，生于季夏，金进气，土当权，喜其丁火司令，元神发露而为用神，能制辛金之劫。未为火之余气，辰乃木之余气，财官皆通根有气，更妙亥水润土养金而滋木，四柱无缺陷。运走东南，金水虚，木火实，一生无凶无险。辰运午年，财、印皆有生扶，中乡榜，由琴堂而迁司马。寿至丑运。,[]
滴天髓,滴天髓-0012,辛丑乙未庚辰丁丑,庚,LIGHT,REN-CAIGUAN|SHISHI-BURUO|LIGHT-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE|JIRUO-WUGEN|SHIYONG-YUELING-XIANGFU|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,甲午 癸巳 壬辰 辛卯 庚寅 己丑此与前造大同小异，财官亦通根有气，前则丁火司令，此则己土司令。更嫌丑时，丁火熄灭，则年干辛金肆逞，冲去未中木火微根，财官虽有若无。初运甲午，木火并旺，荫庇有余；一交癸巳，克丁拱丑，伤劫并旺，刑丧破耗；壬辰运，妻子两伤，家业荡然无存，削发为僧。以俗论之，丑未冲开财官两库，名利两全也。暗冲暗会尤为喜，彼冲我兮皆冲起,[]
滴天髓,滴天髓-0013,庚戌乙酉甲寅庚午,甲,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|BIJIE-PARTY|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE|JIRUO-WUGEN|GE-QUALITY|SHI-ZHU-JI|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,丙戌 丁亥 戊子 己丑 庚寅 辛卯此造干透两庚，正当秋令，支会火局，虽制杀有功，而克泄并见。且庚金锐气方盛，制之以威，不若化之以德。化之以德者，有益于日主也；制之以威者，泄日主之气也。由此推之，不喜会火局也，反以火为病矣。故子运辰年大魁天下。子运冲破火局，去午之旺神也，引通庚金之性，益我日主之气；辰年湿土，能泄火气，拱我子水，培日主之根源也。,[]
滴天髓,滴天髓-0014,丁巳癸丑丁卯丙午,丁,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,壬子 辛亥 庚戌 己酉 戊申 丁未丁火虽生季冬，比劫重重，癸水退气，无力制劫，不足为用。必以丑中辛金为用，得丑土包藏，泄劫生财，为辅用之喜神也。所嫌者，卯木生劫夺食为病，以致早年妻子刑伤。初运壬子辛亥，暗冲巳午之火，荫庇有余。庚戌运暗来拱合午火，刑伤破耗；至己酉会金局冲去卯木之病，财发十余万。由此观之，暗冲其忌神，暗会其喜神，发福不浅；暗冲其喜神，暗会其忌神，为祸非轻。暗冲暗会之理，其可忽乎？,[]
滴天髓,滴天髓-0015,庚寅辛巳丙寅辛卯,丙,HEAVY,REN-CAIGUAN|DESHI-BUWANG|HEAVY-ROOT|ROOT-STRUCK|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE|JIRUO-WUGEN|JIWANG-HUAIJI|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,壬午 癸未 甲申 乙酉 丙戌 丁亥丙火生于孟夏，地支两寅一卯，巳火乘权，引出寅中丙火，天干虽逢庚辛，皆虚浮无根。初运壬午癸未无根之水，能泄金气，地支午未南方，又助旺火，财之气克泄已尽，祖业虽丰，刑丧早见。甲运临申，本无大患，因流年木火，又刑妻克子，家计萧条。一交申字，暗冲寅木之病，天干浮财通根，如枯苗得雨，勃然而兴。及乙酉十五年，自财数倍于祖业，申运驿马逢财，出外大利，经营得财十余万。丙戌运丙子年,[]
滴天髓,滴天髓-0016,戊辰辛酉丙午癸巳,丙,HEAVY,REN-CAIGUAN|XIEQI-TAIZHONG|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE|JIRUO-WUGEN|JISHUAI-CONGSHENG|GE-QING|GE-QUALITY|SHI-ZHU-JI|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,壬戌 癸亥 甲子 乙丑 丙寅 丁卯此造旺财当令，加以年上食神生助，日逢时禄，不为无根，所以身出富家。时透癸水，巳火失势，逢酉邀而拱金矣。五行无木，全赖午火帮身，则癸水为病明矣。一交子运，癸水得禄，子辰拱水，酉金党子冲午，四柱无解救之神，所谓“旺者冲衰衰者拔”，破家亡身。若运走东南木火之地，岂不名利两全乎？,[]
滴天髓,滴天髓-0017,庚寅壬午丁卯癸卯,丁,HEAVY,REN-CAIGUAN|HEAVY-ROOT|ROOT-STRUCK|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE|JIRUO-WUGEN|JIWANG-HUAIJI|GE-QING|GE-QUALITY|CAI-RUO-SHEN-QIANG|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,癸未 甲申 乙酉 丙戌 丁亥 戊子此财官虚露无根，枭比当权得势，以四柱观之，贫夭之命。前造身财并旺，反遭破败无寿，此则财官休囚，劫业有寿，不知彼则无木，逢水冲则拔，此则有水，遇火劫有救。至甲申乙酉运，庚金禄旺，壬癸逢生，又冲去寅卯之木，所谓“衰神冲旺旺神发”，骤然发财巨万。“命好不如运好”，信斯言也！,[]
滴天髓,滴天髓-0018,丙子己亥乙亥丙子,乙,NONE,ZHONGGUA-2SIDE|JIRUO-WUGEN|WUGEN-YOUFU|GE-QUALITY|YUN-SHENG-ROOT|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL,庚子 辛丑 壬寅 癸卯 甲辰 乙巳乙亥日元，生于亥月，喜其天干两透丙火，不失陽春之景。寒木向陽，清而纯粹，惜乎火土无根，水木太重，读书未售；兼之中年一路水木，生扶太过，局中火土皆伤，以致财鲜聚而志未伸。然喜无金，业必清高。若以年时为乙木病位，月日为死地，岂不休囚已极，宜用生扶之运？今以亥子之水作生论，则不宜再见水木也。,[]
滴天髓,滴天髓-0019,戊午乙卯癸卯癸亥,癸,HEAVY,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE|JIRUO-WUGEN|JIWANG-HUAIJI|JISHUAI-CONGSHENG|GE-QING|GE-QUALITY|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,"丙辰 丁巳 戊午 己未 庚申 辛酉此春水多木，过于泄气，五行无金，全赖亥时比劫帮身。嫌其亥卯拱局，又透戊土，克泄并见，交戊午运不寿。若据书云，癸水两坐长生，时逢旺地，何以不寿？又云“食神有寿妻多子,食神生旺胜财官”，此名利两全，多子有寿之格也。总以陰陽生死之说，不足凭也。天地顺遂而精粹者昌，陰陽乖悖而混乱者亡。",[]
滴天髓,滴天髓-0020,己亥丁卯庚申庚辰,庚,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|YIN-PARTY|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|JIRUO-WUGEN|SHIYONG-YUELING-XIANGFU|GE-QUALITY|SHI-ZHU-JI|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,丙寅 乙丑 甲子 癸亥 壬戌 辛酉庚金虽生春令，支坐禄旺，时逢印比，足以用官。地支载以卯木财星，又得亥水生扶有情，丁火之根愈固，所谓“天地顺遂而精粹者昌”也。岁运逢壬癸亥子，干有己印卫官，支得卯财化伤，生平履险如夷，少年科甲，仕至封疆。经云：“日主最宜健旺，用神不可损伤”，信斯言也。,[]
滴天髓,滴天髓-0021,己酉丁卯庚辰甲申,庚,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|YIN-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,丙寅 乙丑 甲子 癸亥 壬戌 辛酉此亦以丁火官星为用，地支亦载以卯木财星，与前造大同小异。只为卯酉逢冲，克败丁火之根，支中少水，财星有克无生。虽时透甲木临于申支，谓地支不载，虽有若无。故身出旧家，诗书不继，破耗刑伤；一交戌运，支类西方，贫乏不堪。,[]
滴天髓,滴天髓-0022,庚申壬午辛酉癸巳,辛,HEAVY,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|JIRUO-WUGEN|JISHUAI-CONGSHENG|GE-QING|GE-QUALITY|CAI-RUO-SHEN-QIANG|SHI-ZHU-JI|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,癸未 甲申 乙酉 丙戌 丁亥 戊子此庚辛壬癸，金水双清，地支申酉巳午，煅炼有功，谓午火真神得用，理应名利双辉。所惜者五行无木，金虽失令而党多，火虽当令而无辅；更嫌壬癸覆之，紧贴庚辛之生，而申中又得长生，则壬水愈肆逞矣。虽有巳火助午，无如巳酉拱金，则午火之势必孤。所以申酉两运，破耗异常；丙戌运中，助起用神，大得际遇；一交亥运，壬水得禄，癸水临旺，火气克尽，家破身亡。,[]
滴天髓,滴天髓-0023,庚申壬午辛酉甲午,辛,HEAVY,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|HEAVY-ROOT|BIJIE-PARTY|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|JISHUAI-CONGSHENG|SHIYONG-YUELING-XIANGFU|GE-QUALITY|CAI-RUO-SHEN-QIANG|SHI-ZHU-JI|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,癸未 甲申 乙酉 丙戌 丁亥 戊子此亦用午中丁火之杀，壬水亦覆之于上，亦有庚金紧贴之生。所喜者午时一助，更妙天干覆以甲木，则火之荫盛。且壬水见甲木而贪生，不来敌火，四柱有相生之谊，无争克之风，中乡榜，仕至观察。与前造只换得先后一时，天渊之隔，所谓毫厘千里之差也。天全一气，不可使地德莫之载。,[]
滴天髓,滴天髓-0024,甲申甲戌甲寅甲戌,甲,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|JIRUO-WUGEN|SHIYONG-YUELING-XIANGFU|GE-QUALITY|SHI-ZHU-JI|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,乙亥 丙子 丁丑 戊寅 己卯 庚辰年支申金，冲去日主寅木，加以戌土乘权重见，生金助杀，谓地支不顾天干。夫四甲一寅，似乎强旺，第秋木休囚，冲去禄神，其根已拔，不作旺论。故寅卯亥子运中，衣食颇丰，一交庚辰，杀之元神透出。四子俱伤，破家不禄。干多不如支重，理固然也。,[]
滴天髓,滴天髓-0025,戊子戊午戊戌戊午,戊,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,己未 庚申 辛酉壬戌 癸亥 甲子此满局火土，子衰午旺，冲则午发而愈烈，熬干滴水，是谓天干不覆。初交已未，孤苦万状；至庚申辛酉运，引通戊土之性，大得际遇，娶妻生子，立业成家；一交壬戌，水不通根，暗拱火局，遭祝融之变，一家五口皆亡。如天干透一庚辛，或地支藏一申酉，岂至若是之结局乎？,[]
滴天髓,滴天髓-0026,戊申戊午戊戌戊午,戊,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,己未 庚申 辛酉 壬戌 癸亥 甲子此与前造只换一申字，而天干之气下降，地支之水有源，午火虽烈，究不能伤申金，用金明矣，况有子水为去病之喜神。交申运，戊辰年四月入学，九月登科，盖得太岁辰字，暗会水局之妙。惜将来壬戌运中，天干群比争财，地支暗会火局，未见其吉矣。,[]
滴天髓,滴天髓-0027,辛卯辛卯辛卯辛卯,辛,NONE,ZHONGGUA-2SIDE|WUGEN-YOUFU|SHIYONG-YUELING-XIANGFU|GE-QING|GE-QUALITY|YUN-SHENG-ROOT|SHI-ZHU-JI|YONGSHEN-STRUCTURE|YONGSHEN-FINAL,庚寅 己丑 戊子 丁亥 丙戌 己酉此造四木当权，四金临绝，虽曰反克地支，实无力克也。如果能克，可用财矣，若能用财，岂无成立乎？彼此母腹，数年间父母皆亡，与道士为徒；己丑戊子运，印绶生扶，衣食无亏；一交丁亥，生火克金，即亡其师，所有微业，嫖赌扫尽而死。地全三物，不可使天道莫之容。,[]
滴天髓,滴天髓-0028,辛卯庚寅甲辰丙寅,甲,HEAVY,REN-CAIGUAN|DESHI-BUWANG|XIEQI-TAIZHONG|HEAVY-ROOT|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|WANGJI-SIWO-SHENG|SHI-ZHU-JI|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,己丑 戊子 丁亥 丙戌 乙酉 甲申此寅卯辰东方，兼之寅时，旺之极矣。年月两金临绝，旺神在提纲，休金难克，而且丙火透时，木火同心，谓强众而敌寡，势在去庚辛之寡。早行土运生金，破耗异常，进京入部办事；至丙戌运，分发广东，得军功，升知县，喜其克尽庚辛之美；至酉，庚辛得地，不禄宜矣。,[]
滴天髓,滴天髓-0029,庚寅庚辰甲寅丁卯,甲,HEAVY,REN-CAIGUAN|XIEQI-TAIZHONG|HEAVY-ROOT|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JISHUAI-CONGSHENG|SHIYONG-YUELING-XIANGFU|GE-QUALITY|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,辛巳 壬午 癸未 甲申 乙酉 丙戌此亦寅、卯、辰东方。旺神不是提纲，辰土归垣，庚金得载，力量足以克木，丁火虽透，非庚金之敌，用杀明矣。至甲申运，庚金禄旺暗冲寅木，科甲联登，仕至郡守；一交丙运制杀，降职归田。陽乘陽位陽气昌，最要行程安顿。,[]
滴天髓,滴天髓-0030,癸巳丙辰丙午庚寅,丙,HEAVY,REN-CAIGUAN|SHISHI-BURUO|HEAVY-ROOT|BIJIE-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|SHIYONG-YUELING-XIANGFU|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,乙卯 甲寅 癸丑 壬子 辛亥 庚戌此东南之陽暖。天干金水，似乎无根，喜月支辰土，泄火蓄水而生金，庚金挂角逢生，则庚金可用。癸水即庚金之喜神。初运乙卯甲寅，金绝火生而水泄，孤苦不堪；一交癸丑北方陰湿之地，金水通根，又得巳丑拱金之妙，出外大得际遇，骤然发财十余万。陽暖逢寒，配合之美也。,[]
滴天髓,滴天髓-0031,戊寅乙丑丙寅庚寅,丙,HEAVY,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|HEAVY-ROOT|YIN-PARTY|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JIWANG-HUAIJI|JISHUAI-CONGSHENG|GE-QING|GE-QUALITY|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,丙寅 丁卯 戊辰 己巳 庚午 辛未丙寅日元，虽支遇三寅，最喜丑土乘权，财星归库。若运走西北土金，财业必胜前造，惜一路东南木火之地，祖业破尽，遍历数省，奔驰不遇，至午运暗会劫局，死于广东。一事无成，莫非运也。陽乘陰位气盛，还须道路光亨。,[]
滴天髓,滴天髓-0032,丙子己亥乙酉壬午,乙,LIGHT,REN-CAIGUAN|SHISHI-BURUO|XIEQI-TAIZHONG|LIGHT-ROOT|YIN-PARTY|ROOT-STRUCK|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE|JIRUO-WUGEN|JISHUAI-CONGSHENG|GE-QUALITY|SHI-ZHU-JI|TIANGAN-XINGQING|YONGSHEN-STRUCTURE|YONGSHEN-FINAL|ZHONG-HE,庚子 辛丑 壬寅 癸卯 甲辰 己巳此全酉、亥、子西北之陰寒。寒木更宜向陽，以丙火为用，壬水即其病也。然喜壬水远隔，与日主紧贴，日主本衰，未尝不喜其生，又有己土透干，亦能砥定中流。且喜天干水木火土，各立门户，相生有情；地支午火紧制七杀，年月火土，通根禄旺。更喜行运东南陽暖之地，不但四柱有情，而且行运光亨，早年联登甲第，仕至封疆，皆陰陽配合之妙也。,[]
